date,population,uncertainty_std_total,uncertainty_std_independent
2016,141972.921875,40949.66015625,116.20050811767578
2017,138793.125,11991.4033203125,87.68767547607422
2018,139642.578125,36441.3359375,150.0049285888672
2019,172230.3125,22912.728515625,159.5946044921875
2020,183353.953125,27658.37109375,146.8805389404297
2021,199429.109375,15688.8134765625,97.12922668457031
2022,213782.3125,32042.845703125,135.83529663085938
2023,219225.21875,8559.78125,108.20654296875
2024,248209.8125,18575.69140625,110.35091400146484
2025,255525.21875,28289.4453125,89.29620361328125
